name,symbol,YTD,3MO,1YR,3YR,5YR,10YR,Yield,rating,Expense ratio,Mgr tenure,assets,Category
DFA International Value IV,DFVFX,15.55,17.13,15.55,,,,2.16,,,0,98650000.00,International Stocks
DFA Large Cap International,DFALX,18.21,19.56,18.21,9.88,9.57,,1.56,***,0.47,7,114600000.00,International Stocks
Diversified Investors Intl Equity,DVIEX,10.47,16.67,10.47,,,,0.42,,1.41,2,308256943.00,International Stocks
Dresdner RCM Global Small Cap,,19.66,24.14,19.66,,,,0,,1.75,1,5474126.00,International Stocks
Dresdner RCM Intl Growth Equity A,DRIEX,13.81,17.85,13.81,16.99,,,1.5,****,1,0,123402092.00,International Stocks
Dreyfus Intl Growth,DITFX,1.61,14.23,1.61,2.79,0.67,,0,**,1.92,2,57596399.00,International Stocks
Dreyfus Intl Stock Index,DIISX,19.36,20.33,19.36,,,,0.68,,,1,27882079.00,International Stocks
Driehaus International Growth,DRIGX,15.15,5.35,15.15,,,,0,,2.11,2,209406772.00,International Stocks
Enterprise International Growth Y,ENIYX,14.73,17.54,14.73,10.85,,,0.71,****,1.55,3,12618105.00,International Stocks
Excelsior Instl International Equity,EXIIX,10.13,18.21,10.13,6.78,,,1.7,***,0.9,,34059018.00,International Stocks
Excelsior International,UMINX,7.91,16.34,7.91,8.16,5.87,6.87,0.55,***,1.43,2,224162984.00,International Stocks
Fidelity Advisor Intl Capital Apr Is,,10.15,17.09,10.15,,,,0,,,1,4938033.00,International Stocks
Fidelity Advisor Overseas Instl,FAOIX,11.79,17.52,11.79,11.97,,,0.92,****,1.16,2,77745477.00,International Stocks
Fidelity Diversified International,FDIVX,14.39,15.25,14.39,16.01,13.24,,1.26,****,1.23,7,2156898342.00,International Stocks
Fidelity International Growth & Inc,FIGRX,9.98,16.48,9.98,9.91,7.67,8.94,0.42,***,1.15,0,870975160.00,International Stocks
Fidelity International Value,FIVFX,11.74,19.44,11.74,9.71,,,0.37,***,1.28,4,435796443.00,International Stocks
Fidelity Overseas,FOSFX,12.84,17.91,12.84,12.28,9.35,8.68,0.55,****,1.2,2,3846516551.00,International Stocks
Fidelity Spartan International Index,FSIIX,21.24,21.1,21.24,,,,1.62,,0.35,1,34281664.00,International Stocks
First American International Index Y,FIICX,19.72,20.52,19.72,7.99,,,1.3,***,0.74,0,122768796.00,International Stocks
First American International Y,FAICX,26.11,16.66,26.11,16.78,,,0.53,****,1.44,4,383535076.00,International Stocks
Firstar International Equity Instl,FIIEX,-9.55,12.75,-9.55,-5.26,,,2,**,1.5,4,38909973.00,International Stocks
Founders International Equity,FOIEX,17.01,11.9,17.01,17.23,,,0,*****,1.85,2,18995155.00,International Stocks
Founders Passport,FPSSX,12.5,13.41,12.5,11.15,8.89,,0.07,***,1.53,5,124654439.00,International Stocks
Fremont International Growth,FIGFX,9.81,16.28,9.81,4.37,,,0.09,***,1.5,0,44817724.00,International Stocks
Fremont International Small Cap,FRISX,4.12,15.97,4.12,-4.98,,,0.17,**,1.5,0,6246766.00,International Stocks
FTI International Equity,FTIEX,12.86,14.64,12.86,13,,,0.32,****,1.6,3,73912403.00,International Stocks
Gabelli International Growth,GIGRX,17.37,14.66,17.37,15.43,,,0.2,****,2.46,3,26790807.00,International Stocks
Galaxy International Equity Tr,GIETX,21.99,17.16,21.99,15.51,,,0.79,****,1.06,2,368468920.00,International Stocks
GE Instl International Equity,GIEIX,17.32,19.65,17.32,,,,1.02,,,1,136926208.00,International Stocks
GE International Equity C,GEICX,14.17,16.65,14.17,10.83,,,0,***,1.35,4,6885629.00,International Stocks
GE International Equity D,GEIDX,14.6,16.72,14.6,11.21,,,0.06,***,1.01,4,17330006.00,International Stocks
Glenmede Institutional International,GTIIX,15.51,14.79,15.51,13.46,10.83,,1.52,****,0.87,6,103558726.00,International Stocks
Glenmede International,GTCIX,16.18,15.54,16.18,13.73,11.97,11.8,2.41,****,0.14,10,1190096767.00,International Stocks
GMO Currency Hedged Intl Core III,GMOCX,7.29,13.87,7.29,11.77,,,2.54,****,,3,287920724.00,International Stocks
GMO Currency Hedged Intl Core IV,GMHFX,,13.83,,,,,,,,,157516678.00,International Stocks
GMO Foreign II,GMFRX,13.92,16.97,13.92,,,,2.02,,,,60314691.00,International Stocks
GMO Foreign III,GMOFX,13.95,16.9,13.95,,,,2.06,,,,1086174847.00,International Stocks
GMO Foreign IV,GMFFX,,17.01,,,,,,,,,138168956.00,International Stocks
GMO International Core II,GMICX,13.48,15.17,13.48,,,,2.03,,,2,16847220.00,International Stocks
GMO International Core III,GMOIX,13.6,15.17,13.6,7.89,7.61,9.92,2.06,****,0.71,11,3024703426.00,International Stocks
GMO International Core IV,GMCFX,,15.2,,,,,,,,0,640485920.00,International Stocks
Goldman Sachs Core Intl Equity Instl,GCIIX,14.57,19.05,14.57,,,,0.29,,1,1,283175191.00,International Stocks
Goldman Sachs Core Intl Equity Svc,GCISX,14.09,18.97,14.09,,,,0.16,,1.5,1,20953.00,International Stocks
Goldman Sachs Intl Equity Instl,GSIEX,18.72,15.73,18.72,,,,0,,1.08,2,104295517.00,International Stocks
Goldman Sachs Intl Equity Svc,GSISX,18.42,15.57,18.42,,,,0.27,,1.55,2,3567400.00,International Stocks
Goldman Sachs Intl Small Cap Instl,GISIX,,17.38,,,,,,,,0,34709643.00,International Stocks
Goldman Sachs Intl Small Cap Svc,GISSX,,17.25,,,,,,,,0,1593.00,International Stocks
Gradison International,INTFX,12.95,17.9,12.95,7.91,,,0,***,2,3,33689405.00,International Stocks
Hansberger Instl International,HINTX,-6.94,14.61,-6.94,,,,1.2,,1,,200055007.00,International Stocks
Harbor International,HAINX,10.36,18.28,10.36,15.26,13.38,15.09,1.48,*****,0.97,11,5358231706.00,International Stocks
Harbor International Growth,HAIGX,23.49,22.35,23.49,19.09,14.14,,0.56,****,1.02,5,1244381582.00,International Stocks
Harbor International II,HAIIX,7.98,25.13,7.98,,,,1.25,,0.98,2,128461500.00,International Stocks
Harding Loevner International Equity,HLMIX,10.2,17.77,10.2,6.8,,,1.45,***,1,4,347858645.00,International Stocks
Harris Insight International A,HILAX,-4.83,13.47,-4.83,,,,1.06,,1.61,2,1651523.00,International Stocks
Harris Insight International Instl,HILIX,-4.62,13.62,-4.62,,,,1.27,,1.36,2,200018526.00,International Stocks
Hartford Intl Opportunities Y,HAOYX,13.11,15.95,13.11,,,,0.35,,1.2,2,9523758.00,International Stocks
Heritage Eagle Intl Equity Eagle,HEIEX,14.99,18.8,14.99,11.32,,,0,****,2.6,3,35652058.00,International Stocks
HighMark International Equity Fid,HMIQX,15.18,18.15,15.18,3.6,,,0.35,***,1.18,0,97063394.00,International Stocks
Hotchkis & Wiley International,HWINX,6.42,15.5,6.42,9.84,9.05,,2.11,***,0.89,8,1406342610.00,International Stocks
IAI International,IAINX,1.83,11.36,1.83,1.89,3,6.19,0.24,***,1.67,8,32139879.00,International Stocks
Idex International Equity C,,10.13,14.81,10.13,,,,0,,2.25,1,417246.00,International Stocks
IDS International Y,IDIYX,15.5,19.48,15.5,8.89,,,0.57,***,1.06,1,77433199.00,International Stocks
Intrust Intl Multi-Mgr Stk Instl Svc,IMSSX,11.08,15.1,11.08,,,,1.33,,,1,,International Stocks
Invesco International Blue Chip,IIBCX,,,,,,,,,,,7200000.00,International Stocks
Invesco International Growth,FSIGX,7.44,13.07,7.44,5.67,5.15,4.33,0,***,1.71,4,45100627.00,International Stocks
ISG International Equity A,IIEAX,9.48,18.79,9.48,,,,0.25,,1.77,1,27276245.00,International Stocks
Ivy Canada Adv,,,0.22,,,,,,,,1,14798.00,International Stocks
Ivy International I,IVIIX,7.75,16.52,7.75,12.78,,,1.28,****,1.18,4,153495024.00,International Stocks
Ivy International II Adv,,7.08,16.55,7.08,,,,1.23,,,0,449960.00,International Stocks
Jamestown International Equity,JAMIX,23.95,18.11,23.95,,,,0.75,,1.6,0,47085113.00,International Stocks
Janus Overseas,JAOSX,16.03,17.77,16.03,20.9,,,0.49,*****,1.01,4,4329000279.00,International Stocks
John Hancock International Equity,JHIEX,18.77,21.93,18.77,6.09,,,1.09,***,1,3,8900000.00,International Stocks
JP Morgan Instl International Equity,JNUSX,13.62,20.21,13.62,7.74,7.43,,2.98,***,0.93,5,362173417.00,International Stocks
JP Morgan Instl International Opport,JPIOX,3.83,22.09,3.83,,,,2.89,,0.99,1,291496891.00,International Stocks
JP Morgan International Equity,PPIEX,13.48,20.23,13.48,7.57,7.19,,2.78,***,1.12,5,74026091.00,International Stocks
JP Morgan International Opport,PPIOX,3.47,21.81,3.47,,,,2.64,,1.2,1,55230897.00,International Stocks
Julius Baer International Equity A,BJBIX,27.07,18.87,27.07,19.91,2.71,,0,***,1.79,3,73412928.00,International Stocks
Kemper International I,,8.79,14.91,8.79,11.87,,,0,****,1.04,3,16598156.00,International Stocks
Kent International Growth Instl,KNINX,17.91,19.5,17.91,8.58,8.88,,1.1,***,1.05,0,528499548.00,International Stocks
Kent International Growth Invmt,KNIVX,17.6,19.36,17.6,8.28,8.62,,1.09,***,1.3,0,12389637.00,International Stocks
Lazard International Equity Instl,LZIEX,16.04,17.96,16.04,14.49,11.22,,0.89,****,0.89,7,2876842107.00,International Stocks
Lazard International Equity Open,LZIOX,15.82,17.99,15.82,,,,0.56,,1.25,,47237191.00,International Stocks
Lazard International Small Cap Instl,LZISX,7.55,7.01,7.55,7.64,3.92,,0.43,***,1.09,5,177782993.00,International Stocks
Legg Mason International Equity Prim,LMGEX,8.49,14.93,8.49,8.75,,,1.08,***,2.17,3,258530185.00,International Stocks
Lexington International,LEXIX,19.02,17.09,19.02,11.16,8.99,,0.49,***,1.75,4,22898010.00,International Stocks
LKCM International,LKINX,10.1,15.65,10.1,,,,0,,,1,56895222.00,International Stocks
Longleaf Partners International,LLINX,,,,,,,,,,,,International Stocks
Loomis Sayles International Eqty Inst,LSIEX,9.32,15.02,9.32,8.59,6.46,,1.09,***,1,2,76014308.00,International Stocks
Loomis Sayles International Eqty Ret,,9.25,15.17,9.25,,,,1.09,,1.25,1,152889.00,International Stocks
M.S.D.&T. International Equity Instl,MEQUX,11.98,15.94,11.98,8.7,7.73,,1.59,***,1.03,5,82577857.00,International Stocks
MainStay Instl EAFE Index Instl,NIEAX,19.15,19.85,19.15,8.39,8.2,,1.69,***,0.94,7,60948000.00,International Stocks
MainStay Instl EAFE Index Instl Svc,MAESX,18.83,19.65,18.83,8.15,,,1.45,***,1.19,4,447000.00,International Stocks
MainStay Instl Intl Equity Instl,NINQX,22.41,19.29,22.41,13.1,,,2.92,****,1,4,129027000.00,International Stocks
MainStay Instl Intl Equity Instl Svc,MAUSX,22.2,19.29,22.2,12.67,,,2.7,****,1.25,4,618000.00,International Stocks
Managers International Equity,MGITX,14.54,13.86,14.54,12.69,11.16,11.63,0.71,****,1.45,,552786805.00,International Stocks
Marshall International Stock,MRISX,3.26,16.3,3.26,11.06,,,1.96,***,1.59,2,235368658.00,International Stocks
MAS International Equity Instl,MPIEX,10.08,14.92,10.08,11.14,5.56,8.84,1.71,***,0.63,6,508991165.00,International Stocks
MassMutual Instl Intl Equity S,MIEDX,5.05,13.53,5.05,12.96,,,1.3,****,1,4,568869229.00,International Stocks
Masters' Select International,MSILX,11.74,20.79,11.74,,,,0.81,,1.77,,92500000.00,International Stocks
Mentor Perpetual International Y,INTLX,13.53,16.89,13.53,,,,0.96,,1.1,2,11352722.00,International Stocks
Merrill Lynch Consults International,MLCIX,2.91,13.2,2.91,3.91,4.7,,1.61,***,2.37,3,59442263.00,International Stocks
Merrill Lynch International Index A,MAIIX,28.05,27.57,28.05,,,,1.19,,0.86,1,117771486.00,International Stocks
Merrill Lynch International Index D,MDIIX,27.69,27.45,27.69,,,,0.92,,1.11,1,14890668.00,International Stocks
MFS Instl International Equity,MIEIX,9.28,14.83,9.28,,,,1.66,,0.94,2,11394638.00,International Stocks
MFS International Growth & Inc I,,21,15,21,,,,0,,1.64,1,36138.00,International Stocks
MFS Research International I,,13.27,16.09,13.27,,,,0.01,,1.4,1,1276911.00,International Stocks
Montgomery International Growth P,MIGPX,28.65,23.14,28.65,,,,0,,1.9,2,936003.00,International Stocks
Montgomery International Growth R,MNIGX,28.69,23.03,28.69,19.69,,,0,*****,1.65,3,200261524.00,International Stocks
Montgomery International Small Cap R,MNISX,10.58,10.84,10.58,8.05,4.09,,0.08,***,1.9,5,47508474.00,International Stocks
Morgan Grenfell Intl Equity,,23.49,22.48,23.49,11.04,,,0.56,***,0.9,3,6112656.00,International Stocks
Morgan Grenfell Intl Small Cap Equity,MGISX,15.49,12.34,15.49,0.26,0.05,,0,**,1.25,4,26096906.00,International Stocks
MSDW Fund of Funds Intl D,,9.04,18.15,9.04,,,,0,,,1,14428.00,International Stocks
MSDW Instl Active Intl Alloc A,MSACX,20.22,14.44,20.22,12.73,9.52,,2.84,****,0.8,6,266929098.00,International Stocks
MSDW Instl Intl Equity A,MSIQX,18.3,14.95,18.3,17.28,15.14,,1.89,*****,1,9,3395554311.00,International Stocks
MSDW Instl Intl Magnum A,MSIMX,7.33,10.31,7.33,,,,0.9,,1,2,269992067.00,International Stocks
MSDW Instl Intl Magnum B,MIMBX,7.13,10.22,7.13,,,,0.7,,1.25,2,26163899.00,International Stocks
MSDW International Small Cap D,ISMDX,4.55,9.54,4.55,,,,0,,,1,291306.00,International Stocks
Munder Framlington International Gr Y,MFGYX,15.64,19.25,15.64,,,,0.02,,1.37,1,48939653.00,International Stocks
Munder International Equity K,MUIKX,13.16,18.67,13.16,8.69,5.95,,1.26,***,1.25,3,98435462.00,International Stocks
Munder International Equity Y,MUIYX,13.37,18.63,13.37,8.97,6.22,,1.5,***,1,3,94350724.00,International Stocks
Nations International Equity Inv A,NIIAX,16.4,17.71,16.4,8.34,7.06,,0.74,***,1.39,3,13006795.00,International Stocks
Nations International Equity Prim A,NIEQX,16.46,17.7,16.46,8.56,7.32,,0.79,***,1.14,3,756035758.00,International Stocks
Nations International Equity Prim B,NIEPX,15.97,17.89,15.97,,,,0.67,,1.64,2,12.00,International Stocks
Nations International Growth Inv A,CKIEX,19.85,20.96,19.85,10.63,8.95,8.37,0,***,1.4,1,22116295.00,International Stocks
Nations International Growth Inv B,NITBX,19.01,20.71,19.01,,,,0,,2.15,1,726226.00,International Stocks
Nations International Growth Prim A,CKIAX,20.19,21,20.19,10.89,9.22,,0,***,1.15,1,210763671.00,International Stocks
Nations International Value Inv A,NIVLX,11.82,20.13,11.82,15.8,,,1.12,****,1.73,2,6476065.00,International Stocks
Nations International Value Prim A,EMIEX,11.6,20.38,11.6,15.93,,,1.24,****,1.21,2,127128199.00,International Stocks
Navellier International Equity,NPIEX,6.64,19.69,6.64,,,,0,,1.75,1,10726309.00,International Stocks
Neuberger Berman International,NBISX,2.35,16.43,2.35,12.08,,,0,****,1.71,1,124042172.00,International Stocks
Neuberger Berman International Tr,,,16.55,,,,,,,1.7,0,1994614.00,International Stocks
New England International Equity C,NECIX,5.88,14.82,5.88,-0.04,,,1.67,**,2.5,1,860810.00,International Stocks
New England International Equity Y,NEIYX,7.29,15.27,7.29,1.32,3.84,,4.33,***,1.15,1,5551776.00,International Stocks
Nicholas-Applegate Intl Core Gr I,NACIX,21.54,13.9,21.54,,,,0,,1.4,2,88153551.00,International Stocks
Nicholas-Applegate Intl Core Gr Q,,21.22,13.83,21.22,,,,0.72,,0,1,7185727.00,International Stocks
Nicholas-Applegate Intl Sm Cap Gr I,NAGPX,36.34,18.7,36.34,22.53,16.19,,0,*****,1.4,5,72108873.00,International Stocks
Nicholas-Applegate Intl Sm Cap Gr Q,NAGUX,35.96,18.53,35.96,22.24,,,0.42,*****,1.66,3,19088789.00,International Stocks
Northern Institutional Intl Eq Idx A,BIEIX,18.88,19.79,18.88,,,,1.93,,0.51,1,46643103.00,International Stocks
Northern Institutional Intl Growth A,BIGAX,24.56,19.02,24.56,11.73,,,1.84,****,1.06,4,110872824.00,International Stocks
Northern International Growth Equity,NOIGX,23.94,18.84,23.94,11.44,,,0.97,****,1.25,4,206939611.00,International Stocks
Northern International Select Equity,NINEX,22.29,16.21,22.29,11.14,,,0.04,****,1.25,4,124048411.00,International Stocks
Norwest Advantage International I,NVITX,12.6,12.33,12.6,8.36,,,0.92,***,1.5,4,267204013.00,International Stocks
Oakmark International,OAKIX,-7,14.51,-7,7.15,3.92,,2.09,***,1.32,6,815901575.00,International Stocks
Oakmark International Small Cap,OAKEX,9.2,28.22,9.2,3.02,,,2.37,***,1.93,3,65584316.00,International Stocks
One Group Intl Equity Index Fid,OIEAX,21.57,20.46,21.57,11.06,9.41,,2.14,***,0.88,1,584654148.00,International Stocks
Pacific Horizon International Eqty K,,10.76,17.28,10.76,,,,0.79,,1.72,1,916993.00,International Stocks
PaineWebber Pace Intl Equity,PCIEX,14.86,18.18,14.86,11.52,,,1.15,****,,3,175318339.00,International Stocks
Parkstone Intl Discovery Instl,PKIDX,12.66,18.24,12.66,10.16,6.1,,0.02,***,1.56,6,328148818.00,International Stocks
Payden & Rygel International Equity R,PIERX,10.83,14.06,10.83,,,,1.91,,0.9,2,13859669.00,International Stocks
PBHG International,PBHIX,12.74,15.36,12.74,9.54,,,1.46,***,2,3,14979819.00,International Stocks
Pegasus International Equity I,WOIEX,16.43,20.22,16.43,9.43,,,1.4,***,1.1,4,569521656.00,International Stocks
Pictet International Small Companies,PTSCX,5.35,9.5,5.35,,,,0,,1.2,2,5699414.00,International Stocks
Pillar International Growth I,,8.98,17.08,8.98,6.7,,,0.13,***,1.5,3,18917129.00,International Stocks
PIMCo International Developed Admin,,23.41,18.07,23.41,9.81,,,0,***,1.36,4,6974795.00,International Stocks
PIMCo International Developed Instl,PIAIX,23.92,18.26,23.92,10.15,10.88,,0.39,****,1.11,5,120491218.00,International Stocks
PIMCo International Growth Instl,,39.4,25.14,39.4,,,,0.13,,1.36,0,6407523.00,International Stocks
Preferred International,PFIFX,10.6,14.83,10.6,11.45,9.47,,1.07,***,1.2,6,265962032.00,International Stocks
Principal Spec Mkts Intl Securities,PISPX,8.8,17.22,8.8,14.24,9.09,,1.47,***,0.9,5,45197225.00,International Stocks
Principal Spec Mkts Intl Smallcap,PSMSX,11.92,14.33,11.92,,,,0.67,,1,1,74567376.00,International Stocks
Prudential World Intl Stock Z,PISZX,11.14,14.57,11.14,11.61,9.46,,1.03,****,1.5,6,259475966.00,International Stocks
Quantitative International Eqty Instl,QIEAX,11.85,18.83,11.85,5.33,,,0.35,***,1.68,4,1831281.00,International Stocks
Republic International Equity,RINEX,12.44,17.23,12.44,12.39,,,1.03,****,1.11,3,149364954.00,International Stocks
Reserve International Equity,RIEAX,18.97,16.15,18.97,7.97,,,0,***,2,3,11920102.00,International Stocks
RSI Retirement Trust Intl Equity,RSTEX,14.79,16.86,14.79,8.69,7.79,6.74,0,***,1.96,14,34080739.00,International Stocks
Safeco International Stock No Load,SFISX,14.26,19.24,14.26,,,,0,,1.63,2,22110783.00,International Stocks
Saratoga International Equity,SIEPX,13.22,13.86,13.22,8.85,,,0.8,***,1.4,,22349762.00,International Stocks
Schroder International Adv,,,13.4,,,,,,,,1,3000.00,International Stocks
Schroder International Inv,SCIEX,13.52,13.03,13.52,8.85,7.49,8.57,0.99,***,0.99,1,127298376.00,International Stocks
Schwab MarketManager International,SWOIX,13.29,13.4,13.29,,,,1.17,,0.5,2,86000000.00,International Stocks
Scudder International,SCINX,18.62,14.82,18.62,13.63,9.82,10.62,0,****,1.18,5,2878773337.00,International Stocks
Scudder International Barrett Intl,,,14.82,,,,,,,,0,22202788.00,International Stocks
Scudder International Growth & Income,SIGIX,9.45,12.22,9.45,,,,0.79,,1.75,1,52406915.00,International Stocks
Scudder Pathway International,SPIPX,4.83,12.37,4.83,,,,0.79,,,2,9027776.00,International Stocks
SEI International Equity A,SEITX,19.29,19.35,19.29,8.48,7.28,,1.67,***,1.21,1,1190115416.00,International Stocks
Sextant International,SSIFX,5.6,23.83,5.6,12.66,,,0,****,1.51,3,885391.00,International Stocks
